time,date,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
1651881600,2022-05-07 00:00:00,76.8,77.47,76.7,77.35,44854.56,3453875,direct,
1651885200,2022-05-07 01:00:00,76.41,77.24,76.01,76.8,50637.94,3872487.71,direct,
1651888800,2022-05-07 02:00:00,76.49,76.95,76.35,76.41,23691.02,1814807.69,direct,
1651892400,2022-05-07 03:00:00,75.49,76.68,75.23,76.49,28056.65,2129617.76,direct,
1651896000,2022-05-07 04:00:00,72.83,75.55,72.83,75.49,105897.26,7811094.32,direct,
1651899600,2022-05-07 05:00:00,73.66,73.77,72.69,72.83,43564.85,3184624.54,direct,
1651903200,2022-05-07 06:00:00,72.31,73.77,72.2,73.66,41286.91,3008578.67,direct,
1651906800,2022-05-07 07:00:00,73.12,73.29,72.13,72.31,44631.55,3245829.49,direct,
1651910400,2022-05-07 08:00:00,73.49,73.75,72.87,73.12,33056.74,2422742.1,direct,
1651914000,2022-05-07 09:00:00,73.35,73.78,73.1,73.49,20334.15,1492590.72,direct,
1651917600,2022-05-07 10:00:00,73.92,74.2,73.13,73.35,30277.24,2232898.11,direct,
1651921200,2022-05-07 11:00:00,73.85,74.39,73.52,73.92,33316.7,2463315.89,direct,
1651924800,2022-05-07 12:00:00,73.47,73.88,73.26,73.85,20421.56,1502424.29,direct,
1651928400,2022-05-07 13:00:00,73.03,73.61,72.57,73.47,36077.56,2629534.73,direct,
1651932000,2022-05-07 14:00:00,73.08,73.46,72.86,73.03,19649.09,1437930.89,direct,
1651935600,2022-05-07 15:00:00,73.47,73.61,73.01,73.08,22173.98,1625940.59,direct,
1651939200,2022-05-07 16:00:00,73.23,73.56,72.71,73.47,17984.71,1314862.23,direct,
1651942800,2022-05-07 17:00:00,72.59,73.26,72.5,73.23,20558.19,1498812.75,direct,
1651946400,2022-05-07 18:00:00,72.61,73.13,72.14,72.59,23994.21,1741854.33,direct,
1651950000,2022-05-07 19:00:00,72.43,72.87,72.36,72.61,15760.45,1144815.91,direct,
1651953600,2022-05-07 20:00:00,70.68,72.43,70.41,72.43,80518.23,5739417.67,direct,
1651957200,2022-05-07 21:00:00,66.37,70.69,66.28,70.68,132350.63,9172655.89,direct,
1651960800,2022-05-07 22:00:00,65.23,68.41,63.2,66.37,216009.04,14211266.86,direct,
1651964400,2022-05-07 23:00:00,68.07,70.64,64.84,65.23,224945.18,15446786.39,direct,
1651968000,2022-05-08 00:00:00,65.5,68.48,65.37,68.07,115778.41,7807033.17,direct,
1651971600,2022-05-08 01:00:00,63.67,66.17,63.26,65.5,157650.93,10191439.9,direct,
1651975200,2022-05-08 02:00:00,65.12,65.15,61.71,63.67,280267.42,17740134.85,direct,
1651978800,2022-05-08 03:00:00,65.65,68.31,63.56,65.12,135321.65,8831081.98,direct,
1651982400,2022-05-08 04:00:00,65.18,66.44,64.95,65.65,69936.47,4597417.38,direct,
1651986000,2022-05-08 05:00:00,65.03,65.65,64.81,65.18,48660.43,3173394.11,direct,
1651989600,2022-05-08 06:00:00,65.11,65.94,64.9,65.14,177474.38,11554581.82,multiply,BTC
1651993200,2022-05-08 07:00:00,64.19,65.39,64.19,65.07,50108.31,3248866.1,direct,
1651996800,2022-05-08 08:00:00,64.02,64.74,63.69,64.19,41623.17,2670080.25,direct,
1652000400,2022-05-08 09:00:00,62.75,64.26,62.53,64.02,62095.88,3920272.85,direct,
1652004000,2022-05-08 10:00:00,63.59,64.2,62.64,62.75,90200.74,5728064.52,direct,
1652007600,2022-05-08 11:00:00,63.26,64.36,62.83,63.59,67202.29,4276532.02,direct,
1652011200,2022-05-08 12:00:00,60.26,63.66,60.17,63.26,156399.72,9637197.74,direct,
1652014800,2022-05-08 13:00:00,60.68,62.29,59.46,60.26,208567.59,12670654.64,direct,
1652018400,2022-05-08 14:00:00,64.68,65.24,60.54,60.68,307810.95,19554340.39,direct,
1652022000,2022-05-08 15:00:00,64.81,66.56,64.4,64.68,168827.81,11044376.94,direct,
1652025600,2022-05-08 16:00:00,64.67,66.66,64.67,64.81,129196.34,8498639.97,direct,
1652029200,2022-05-08 17:00:00,66.07,66.31,62.79,64.67,209203.13,13437718.95,direct,
1652032800,2022-05-08 18:00:00,67.02,67.9,64.87,66.07,169043.2,11282011.02,direct,
1652036400,2022-05-08 19:00:00,66.45,67.25,66.16,67.02,75431.72,5024729.33,direct,
1652040000,2022-05-08 20:00:00,65.76,66.61,65.4,66.45,81534.61,5370081.97,direct,
1652043600,2022-05-08 21:00:00,66.81,66.81,65.75,65.76,39601.35,2628983.77,direct,
1652047200,2022-05-08 22:00:00,64.93,66.9,64.77,66.81,81954.87,5356064.59,direct,
1652050800,2022-05-08 23:00:00,64.29,64.95,63.45,64.93,54751.1,3507146.68,direct,
1652054400,2022-05-09 00:00:00,64.36,65.29,63.47,64.29,62732.4,4038842.78,direct,
1652058000,2022-05-09 01:00:00,62.61,64.56,62.57,64.36,48382.79,3075780.54,direct,
1652061600,2022-05-09 02:00:00,60.71,62.67,60.02,62.61,154814.03,9465047.06,direct,
1652065200,2022-05-09 03:00:00,61.2,61.99,60.45,60.71,208858.23,12777613.49,direct,
1652068800,2022-05-09 04:00:00,62.8,63.94,61.2,61.2,77588.44,4888336.37,direct,
1652072400,2022-05-09 05:00:00,61.62,63.29,61.47,62.8,62771.6,3921916.7,direct,
1652076000,2022-05-09 06:00:00,61.94,62.21,60.72,61.62,71951.07,4421576.98,direct,
1652079600,2022-05-09 07:00:00,60.86,62.58,60.59,61.94,86623.53,5321078.89,direct,
1652083200,2022-05-09 08:00:00,61.97,61.99,60.07,60.86,70947.77,4329738.59,direct,
1652086800,2022-05-09 09:00:00,61.26,62.19,61.01,61.97,52450.06,3223648.43,direct,
1652090400,2022-05-09 10:00:00,60.65,61.46,59.26,61.26,250607.82,15058202.85,direct,
1652094000,2022-05-09 11:00:00,59.57,61.39,59.57,60.42,212990.7,12687051.16,multiply,BTC
1652097600,2022-05-09 12:00:00,59.27,60.2,58.47,59.42,135718.72,8034161.77,direct,
1652101200,2022-05-09 13:00:00,60.14,61.61,58.66,59.27,126317.96,7591114.82,direct,
1652104800,2022-05-09 14:00:00,58.79,59.5,58.43,60.19,137788.84,8100124.86,multiply,BTC
1652108400,2022-05-09 15:00:00,57.43,59.4,56.64,58.79,302171.31,17535901.59,direct,
1652112000,2022-05-09 16:00:00,53.76,57.52,52.45,57.43,451400.18,25018844.58,direct,
1652115600,2022-05-09 17:00:00,51.48,53.97,51.4,53.76,280597.39,14844738.2,direct,
1652119200,2022-05-09 18:00:00,46.89,51.93,43.61,51.48,1123663,52906492.23,direct,
1652122800,2022-05-09 19:00:00,46.96,48.47,44.3,46.89,460888.33,21321617.15,direct,
1652126400,2022-05-09 20:00:00,48.53,52.08,46.96,46.96,569622.28,28251993.96,direct,
1652130000,2022-05-09 21:00:00,41.8,48.97,41.23,48.53,440770.56,19989036.86,direct,
1652133600,2022-05-09 22:00:00,41.46,46.76,39.25,41.8,937223.83,39927121.11,direct,
1652137200,2022-05-09 23:00:00,30.19,42.46,29.73,41.46,1294705.23,46373102.32,direct,
1652140800,2022-05-10 00:00:00,37.78,38.49,26.05,30.19,2108443.82,67456066.06,direct,
1652144400,2022-05-10 01:00:00,34.6,39.63,31.59,37.78,1146207.86,40598806.53,direct,
1652148000,2022-05-10 02:00:00,30.93,36.29,30.64,34.6,741067.88,24518031.63,direct,
1652151600,2022-05-10 03:00:00,25.17,31.04,25.09,30.93,1133105.82,32130721.49,direct,
1652155200,2022-05-10 04:00:00,29.74,30.29,23.29,25.17,1205921.49,32008106.22,direct,
1652158800,2022-05-10 05:00:00,32.58,33.17,27.55,29.74,750682.09,22671090.23,direct,
1652162400,2022-05-10 06:00:00,34.45,36.88,31.98,32.58,814982.95,28368921.34,direct,
1652166000,2022-05-10 07:00:00,30.88,35.33,30.4,34.45,447896.95,14458323.94,direct,
1652169600,2022-05-10 08:00:00,31.62,33.87,30.58,30.88,532200.33,17254258.03,direct,
1652173200,2022-05-10 09:00:00,28.88,32.58,28.53,31.62,481007.21,14483059.35,direct,
