actor,n_liquidations,pct
0x008Ca3a9C52e0F0d9Ee94d310D20d67399d44f6C,27,27.0
0xCcCEfA3A442fb16469e00C294752e8EB5e38b939,11,11.0
0x8BEcf1350Ab27c9Bd677fE8Fc9898Bed1D5AD3E3,9,9.0
0x7Ed42c3C85871b33f4D7495b8826C3483F217CC2,8,8.0
0xeD96C177eB097d9C6B547116262391D36947eC81,5,5.0
0x55b7969dCE63163d92E8b88722c216EC46c041f3,5,5.0
0x066d6053a177d1771c5806A1196549949C764a4B,4,4.0
0x007e31eAae82c452b121d93248092Ba926d625eF,4,4.0
0x38538384547efDE883ed2B623CaD1EC9A6A92c72,3,3.0
0xbE9064c409224D858F5fb12A5D3E8e417d9e28b7,3,3.0
0x0dF9490d983c890933167E9be97ffE3D4D6893Ad,3,3.0
0xF078969E55caBF9AE3f26afeB5EC627B4430f19E,3,3.0
0x99b02491Fd1A9a7A97a31d046767c08D5cCc9A1d,3,3.0
0x0EB4ADD4bA497357546DA7F5D12D39587cA24606,2,2.0
0xDF97Ef436d81b54E5073e7bA657dAe054c475f7b,1,1.0
0xB282081B2681ba4eb2899c2722EeEF0a98515b98,1,1.0
0x6b27a8AB1bf2F169F694C122CF0c5B0e832AB46a,1,1.0
0x2C875e84F2f100562B44A3797Aed32Ffc162E91e,1,1.0
0x56E74C24E339af1d779B8651617a115327Eb5C0C,1,1.0
0xB2E1284Fb685dbDcc4378cF5d4E9515679527a42,1,1.0
0x42DbF634c256acd17beDDC1330488F1BEa7B8BDf,1,1.0
0x79AEbA95B3B6E3E9dF374f163a4AC1edbd6eC628,1,1.0
0xcD40532686B94aBc88b06B9705AAcBc14c8364D6,1,1.0
0xa7888F85BD76deeF3Bd03d4DbCF57765a49883b3,1,1.0
