Date,BTC_Balance,BTC_Price,USD_Value_Billions
2022-01-01,0,47737.35,0.0
2022-01-02,0,47306.41,0.0
2022-01-03,0,46450.79,0.0
2022-01-04,0,45824.54,0.0
2022-01-05,0,43432.51,0.0
2022-01-06,0,43094.54,0.0
2022-01-07,0,41543.79,0.0
2022-01-08,0,41686.67,0.0
2022-01-09,0,41869.6,0.0
2022-01-10,0,41832.59,0.0
2022-01-11,0,42743.03,0.0
2022-01-12,0,43919.67,0.0
2022-01-13,0,42575.61,0.0
2022-01-14,0,43089.83,0.0
2022-01-15,0,43088.74,0.0
2022-01-16,0,43100.36,0.0
2022-01-17,0,42224.38,0.0
2022-01-18,0,42372.75,0.0
2022-01-19,0,41674.8,0.0
2022-01-20,0,40697.03,0.0
2022-01-21,0,36469.3,0.0
2022-01-22,0,35075.92,0.0
2022-01-23,0,36288.15,0.0
2022-01-24,0,36702.79,0.0
2022-01-25,0,36975.99,0.0
2022-01-26,0,36829.37,0.0
2022-01-27,9000,37189.85,0.33470865
2022-01-28,9000,37744.7,0.3397023
2022-01-29,9000,38184.86,0.34366374
2022-01-30,9000,37908.44,0.34117596
2022-01-31,9000,38494.66,0.34645194000000007
2022-02-01,9000,38721.49,0.34849341
2022-02-02,9000,36918.19,0.33226371
2022-02-03,9000,37328.64,0.33595776
2022-02-04,9000,41590.34,0.3743130599999999
2022-02-05,9000,41418.21,0.37276389
2022-02-06,9000,42412.41,0.38171169000000005
2022-02-07,9000,43861.07,0.39474963
2022-02-08,9000,44080.12,0.39672108
2022-02-09,9000,44422.91,0.39980619000000006
2022-02-10,9000,43531.67,0.39178503
2022-02-11,9000,42398.98,0.38159082
2022-02-12,9000,42239.01,0.38015109
2022-02-13,9000,42069.84,0.37862855999999995
2022-02-14,9000,42552.28,0.38297052
2022-02-15,9000,44576.33,0.40118697
2022-02-16,9000,43896.34,0.3950670599999999
2022-02-17,9000,40545.09,0.36490580999999994
2022-02-18,9000,39994.66,0.3599519400000001
2022-02-19,9000,40107.12,0.36096408
2022-02-20,9000,38397.25,0.34557525
2022-02-21,9000,37037.39,0.33333651
2022-02-22,9000,38267.75,0.34440975
2022-02-23,24954,37270.85,0.9300567908999999
2022-02-24,24954,38353.62,0.95707623348
2022-02-25,24954,39239.77,0.9791892205799999
2022-02-26,24954,39134.83,0.9765705478200001
2022-02-27,24954,37714.96,0.94113911184
2022-02-28,24954,43189.46,1.07774978484
2022-03-01,24954,44428.47,1.1086680403800002
2022-03-02,24954,43935.37,1.09636322298
2022-03-03,24954,42474.37,1.05990542898
2022-03-04,24954,39154.4,0.9770588976
2022-03-05,24954,39407.02,0.98336277708
2022-03-06,24954,38428.92,0.95895526968
2022-03-07,24954,38030.63,0.94901634102
2022-03-08,24954,38748.52,0.9669305680799999
2022-03-09,24954,41962.85,1.0471409589
2022-03-10,24954,39443.42,0.98427110268
2022-03-11,24954,38741.03,0.96674366262
2022-03-12,24954,38805.53,0.96835319562
2022-03-13,24954,37796.31,0.9431691197399998
2022-03-14,24954,39696.28,0.99058097112
2022-03-15,24954,39314.86,0.98106301644
2022-03-16,24954,41133.64,1.02644885256
2022-03-17,24954,40956.79,1.02203573766
2022-03-18,24954,41790.97,1.04285186538
2022-03-19,24954,42235.02,1.0539326890799998
2022-03-20,24954,41243.16,1.02918181464
2022-03-21,24954,41043.9,1.0242094806
2022-03-22,24954,42380.11,1.0575532649400001
2022-03-23,24954,42904.1,1.0706289114
2022-03-24,30727,44006.77,1.35219602179
2022-03-25,30727,44331.36,1.36216969872
2022-03-26,30727,44542.31,1.36865155937
2022-03-27,30727,46842.14,1.43931843578
2022-03-28,35767,47128.71,1.6856525705699998
2022-03-29,35767,47445.3,1.6969760451000002
2022-03-30,35767,47056.41,1.68306661647
2022-03-31,35767,45522.65,1.6282086225499999
2022-04-01,35767,46299.75,1.65600315825
