date,timestamp,price,market_cap,est_supply,est_mcap
2021-01-01,1609459200,0.6486,0,484000000,313922400.0
2021-01-02,1609545600,0.6305,0,483646408.839779,304939060.77348065
2021-01-03,1609632000,0.6596,0,483292817.67955804,318779942.5414365
2021-01-04,1609718400,0.6682,0,482939226.519337,322699991.160221
2021-01-05,1609804800,0.7155,0,482585635.359116,345290022.09944755
2021-01-06,1609891200,0.7142,0,482232044.19889504,344410125.9668508
2021-01-07,1609977600,0.8579,0,481878453.03867406,413403524.86187845
2021-01-08,1610064000,0.8489,0,481524861.878453,408766455.2486188
2021-01-09,1610150400,0.8164,0,481171270.71823204,392828225.41436464
2021-01-10,1610236800,0.8439,0,480817679.55801105,405762039.7790055
2021-01-11,1610323200,0.738,0,480464088.3977901,354582497.2375691
2021-01-12,1610409600,0.7479,0,480110497.23756903,359074640.8839779
2021-01-13,1610496000,0.8228,0,479756906.07734805,394743982.32044196
2021-01-14,1610582400,0.8324,0,479403314.9171271,399055319.3370166
2021-01-15,1610668800,0.7917,0,479049723.7569061,379263666.2983425
2021-01-16,1610755200,0.7591,0,478696132.5966851,363378234.25414366
2021-01-17,1610841600,0.8067,0,478342541.4364641,385878928.17679554
2021-01-18,1610928000,0.8013,0,477988950.2762431,383012545.8563536
2021-01-19,1611014400,0.9102,0,477635359.1160221,434743703.8674033
2021-01-20,1611100800,0.9042,0,477281767.9558011,431558174.58563536
2021-01-21,1611187200,0.7929,0,476928176.7955801,378156351.38121545
2021-01-22,1611273600,0.813,0,476574585.6353591,387455138.1215469
2021-01-23,1611360000,0.9019,0,476220994.4751381,429503714.9171271
2021-01-24,1611446400,0.9081,0,475867403.31491715,432135188.95027626
2021-01-25,1611532800,0.8701,0,475513812.1546961,413744567.95580107
2021-01-26,1611619200,1.266,0,475160220.9944751,601552839.7790055
2021-01-27,1611705600,1.124,0,474806629.83425415,533682651.9337017
2021-01-28,1611792000,1.457,0,474453038.67403316,691278077.3480663
2021-01-29,1611878400,1.476,0,474099447.5138122,699770784.5303868
2021-01-30,1611964800,1.436,0,473745856.35359114,680299049.7237569
2021-01-31,1612051200,1.462,0,473392265.19337016,692099491.7127072
2021-02-01,1612137600,1.799,0,473038674.0331492,850996574.5856353
2021-02-02,1612224000,2.354,0,472685082.8729282,1112700685.082873
2021-02-03,1612310400,2.122,0,472331491.71270716,1002287425.4143646
2021-02-04,1612396800,2.66,0,471977900.5524862,1255461215.4696133
2021-02-05,1612483200,2.887,0,471624309.3922652,1361579381.2154696
2021-02-06,1612569600,2.695,0,471270718.2320442,1270074585.635359
2021-02-07,1612656000,3.086,0,470917127.0718232,1453250254.1436462
2021-02-08,1612742400,5.781,0,470563535.9116022,2720327801.1049724
2021-02-09,1612828800,6.474,0,470209944.7513812,3044139182.320442
2021-02-10,1612915200,6.096,0,469856353.59116024,2864244331.491713
