date,timestamp,price,market_cap
2021-01-01,1609459200,0.6486,0
2021-01-02,1609545600,0.6305,0
2021-01-03,1609632000,0.6596,0
2021-01-04,1609718400,0.6682,0
2021-01-05,1609804800,0.7155,0
2021-01-06,1609891200,0.7142,0
2021-01-07,1609977600,0.8579,0
2021-01-08,1610064000,0.8489,0
2021-01-09,1610150400,0.8164,0
2021-01-10,1610236800,0.8439,0
2021-01-11,1610323200,0.738,0
2021-01-12,1610409600,0.7479,0
2021-01-13,1610496000,0.8228,0
2021-01-14,1610582400,0.8324,0
2021-01-15,1610668800,0.7917,0
2021-01-16,1610755200,0.7591,0
2021-01-17,1610841600,0.8067,0
2021-01-18,1610928000,0.8013,0
2021-01-19,1611014400,0.9102,0
2021-01-20,1611100800,0.9042,0
2021-01-21,1611187200,0.7929,0
2021-01-22,1611273600,0.813,0
2021-01-23,1611360000,0.9019,0
2021-01-24,1611446400,0.9081,0
2021-01-25,1611532800,0.8701,0
2021-01-26,1611619200,1.266,0
2021-01-27,1611705600,1.124,0
2021-01-28,1611792000,1.457,0
2021-01-29,1611878400,1.476,0
2021-01-30,1611964800,1.436,0
2021-01-31,1612051200,1.462,0
2021-02-01,1612137600,1.799,0
2021-02-02,1612224000,2.354,0
2021-02-03,1612310400,2.122,0
2021-02-04,1612396800,2.66,0
2021-02-05,1612483200,2.887,0
2021-02-06,1612569600,2.695,0
2021-02-07,1612656000,3.086,0
2021-02-08,1612742400,5.781,0
2021-02-09,1612828800,6.474,0
2021-02-10,1612915200,6.096,0
2021-02-11,1613001600,5.506,0
2021-02-12,1613088000,5.735,0
2021-02-13,1613174400,5.61,0
2021-02-14,1613260800,5.644,0
2021-02-15,1613347200,5.45,0
2021-02-16,1613433600,6.517,0
2021-02-17,1613520000,7.291,0
2021-02-18,1613606400,6.691,0
2021-02-19,1613692800,6.315,0
2021-02-20,1613779200,5.942,0
2021-02-21,1613865600,6.126,0
2021-02-22,1613952000,7.063,0
2021-02-23,1614038400,6.728,0
2021-02-24,1614124800,6.685,0
2021-02-25,1614211200,5.98,0
2021-02-26,1614297600,5.883,0
2021-02-27,1614384000,5.917,0
2021-02-28,1614470400,5.368,0
2021-03-01,1614556800,6.745,0
2021-03-02,1614643200,6.48,0
2021-03-03,1614729600,7.201,0
2021-03-04,1614816000,7.487,0
2021-03-05,1614902400,8.463,0
2021-03-06,1614988800,8.243,0
2021-03-07,1615075200,8.236,0
2021-03-08,1615161600,9.674,0
2021-03-09,1615248000,11.69,0
2021-03-10,1615334400,11.12,0
2021-03-11,1615420800,10.82,0
2021-03-12,1615507200,14.13,0
2021-03-13,1615593600,14.59,0
2021-03-14,1615680000,15.81,0
2021-03-15,1615766400,16.3,0
2021-03-16,1615852800,19.91,0
2021-03-17,1615939200,18.52,0
2021-03-18,1616025600,18.94,0
2021-03-19,1616112000,19.88,0
2021-03-20,1616198400,20.84,0
2021-03-21,1616284800,21.93,0
2021-03-22,1616371200,19.32,0
2021-03-23,1616457600,16.94,0
2021-03-24,1616544000,16.54,0
2021-03-25,1616630400,16.38,0
2021-03-26,1616716800,18.45,0
2021-03-27,1616803200,18.66,0
2021-03-28,1616889600,18.53,0
2021-03-29,1616976000,18.84,0
2021-03-30,1617062400,18.61,0
2021-03-31,1617148800,18.65,0
2021-04-01,1617235200,18.38,0
2021-04-02,1617321600,18.47,0
2021-04-03,1617408000,18.01,0
2021-04-04,1617494400,18.18,0
2021-04-05,1617580800,17.56,0
2021-04-06,1617667200,16.72,0
2021-04-07,1617753600,15.45,0
2021-04-08,1617840000,15.76,0
2021-04-09,1617926400,15.66,0
2021-04-10,1618012800,15.48,0
2021-04-11,1618099200,15.1,0
2021-04-12,1618185600,14.63,0
2021-04-13,1618272000,15.63,0
2021-04-14,1618358400,15.27,0
2021-04-15,1618444800,16.87,0
2021-04-16,1618531200,15.77,0
2021-04-17,1618617600,15.21,0
2021-04-18,1618704000,13.4,0
2021-04-19,1618790400,13.88,0
2021-04-20,1618876800,13.45,0
2021-04-21,1618963200,13.26,0
2021-04-22,1619049600,13.64,0
2021-04-23,1619136000,14.11,0
2021-04-24,1619222400,15.61,0
2021-04-25,1619308800,17.72,0
2021-04-26,1619395200,17.64,0
2021-04-27,1619481600,17.72,0
2021-04-28,1619568000,16.83,0
2021-04-29,1619654400,16.26,0
2021-04-30,1619740800,16.7,0
2021-05-01,1619827200,16.56,0
2021-05-02,1619913600,17.16,0
2021-05-03,1620000000,17.26,0
