"Transaction Hash","Status","Type","Method ","Block","Date Time (UTC)","From","From_NameTag","To","To_NameTag","Amount","Value (USD)","Asset","Txn Fee"
"0x7cee45d919db1a2e6502df32def0066dabf7ceb8738ec2c8636231eed18ed79f","Error in Txn","Tx","Take","23835151","2025-11-19 19:18:23","0x8BEcf1350Ab27c9Bd677fE8Fc9898Bed1D5AD3E3"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.00003179"
"0xebbb030193938da2c532eb3e0696c668ae346b4feb72cd26b85e4f0e1faade1d","Error in Txn","Tx","Take","23835146","2025-11-19 19:17:23","0x8BEcf1350Ab27c9Bd677fE8Fc9898Bed1D5AD3E3"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.0000352"
"0x14f746a8ed31e212ca4941a5de0b68c97a34a9614a2503369c0d1c7c148b5b2b","Success","Tx","Take","23821483","2025-11-17 21:13:47","0x008Ca3a9C52e0F0d9Ee94d310D20d67399d44f6C"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.00504391"
"0x0297c9d3b0343996c329e46e1a52ff7ec1763d4ab82698198a08f32f97c1387b","Success","Tx","Take","22215757","2025-04-07 8:13:11","0xeD96C177eB097d9C6B547116262391D36947eC81"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.01145412"
"0x9e39e12d4b33f4e7e8854f2f7372d40c879f2aff14a5c18105d1562e33d65895","Success","Tx","Take","22215755","2025-04-07 8:12:47","0xDF97Ef436d81b54E5073e7bA657dAe054c475f7b"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.00482828"
"0xe1a9905ac3a3d8129a26223683e91769b16ff66b1e03f4aa351b40520611f79c","Success","Tx","Take","22215754","2025-04-07 8:12:35","0x008Ca3a9C52e0F0d9Ee94d310D20d67399d44f6C"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.00751136"
"0x86871627fe43084e01916a90dfedaf171111ac18830d1c841d1c9d1af795c16e","Success","Tx","Take","22213123","2025-04-06 23:23:23","0x008Ca3a9C52e0F0d9Ee94d310D20d67399d44f6C"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.00151863"
"0x2d1b589a9bbf76894c3e887df8d20ed92a84e98a6c2c697407ca513c152b1142","Success","Tx","Take","22213118","2025-04-06 23:22:23","0xeD96C177eB097d9C6B547116262391D36947eC81"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.00140424"
"0x354f7185b930e763e04e89c1c671bdcc74dc86e12bac31b8d076054e7b39ecea","Success","Tx","Take","22213118","2025-04-06 23:22:23","0xB282081B2681ba4eb2899c2722EeEF0a98515b98"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.00140424"
"0x839bc029f1807b590be0d4412677c6dea5f164b2a3155bc84cae0e46f25f85fa","Success","Tx","Take","22213117","2025-04-06 23:22:11","0x38538384547efDE883ed2B623CaD1EC9A6A92c72"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.00111771"
